Match,Match-href,Home,Away,Score,Date/Time,element
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318084","Lyon","Oyonnax","52 - 18","KO: 28 Oct 2017 17:00","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1. Tommy Raynaud 385002. Quentin MacDonald 606013. Hoani Tui 654004. Phoenix Battye 605005. Valentin Ursache 484006. Curtis Browning 8011117. Rory Grice 808008. Vili Ma'afu 806209. Jeremy Gondrand 8041010. Ben Botica 4013011. Dug Codjo 8091012. Matt Hopper 8081013. Mitch Inman 6865014. Daniel Ikpefan 8071015. Quentin Etienne Lecoq 6210016. Benjamin Geledan 2010017. Khatchik Vartanov 4210018. Steven Sykes 2030019. Shay Kerry 2210020. James Hall 4010021. Ulupano Seuteni 1210022. Silvere Tian 800023. Pietro Ceccarelli 15100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318092","Brive","Stade Francais","20 - 19","KO: 05 Nov 2017 11:30","Stade FrancaisMinutes PlayedTacklesMissed TacklesTurnovers Won1. Zurabi Zhvania607102. Maxime Gau6610503. Lorenzo Cittadini476004. Mathieu De Giovanni8018005. Alexandre Flanquart8013316. Hugh Pyle687007. Willem Alberts8019308. Sergio Parisse808109. Charl McLeod6020010. Morne Steyn6652111. Djibril Camara8050012. Jonathan Danty8043113. Waisea Nayacalevu8083114. Julien Arias8052115. Tony Ensor8000016. Remy Bonfils1452117. Siegfried Fisi'ihoi2020018. Steevy Cerqueira1221019. Bakary Meite000020. Arthur Coville2011021. Jules Plisson1400022. Jimmy Yobo000023. Ramiro Herrera33900"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318064","Pau","Stade Francais","23 - 25","KO: 30 Sep 2017 17:00","Stade FrancaisMinutes PlayedTacklesMissed TacklesTurnovers Won1. Gurthro Steenkamp 504102. Remy Bonfils 8021203. Paul Alo-Emile 8015104. Paul Gabrillagues 7711015. Alexandre Flanquart 809106. Hugh Pyle 8010007. Sekou Macalou 699008. Willem Alberts 7017209. Arthur Coville 8040010. Jules Plisson 5621011. Marvin O'Connor 8061012. Jimmy Yobo 8071013. Waisea Nayacalevu 8021014. Julien Arias 8020015. Tony Ensor 8000016. Lucas Da Silva 000017. Siegfried Fisi'ihoi 3030018. Mathieu De Giovanni 310019. Steevy Cerqueira 1130020. Terry Bouhraoua 000021. Morne Steyn 2431022. Theo Millet 000023. Giorgi Melikidze 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318074","La Rochelle","Racing 92","16 - 9","KO: 08 Oct 2017 15:50","Racing 92Minutes PlayedTacklesMissed TacklesTurnovers Won1. Viliamu Afatia 554002. Camille Chat 555203. Census Johnston 497014. Bernard Le Roux 7510225. Leone Nakarawa 806116. Yannick Nyanga 807017. Baptiste Chouzenoux 582008. So'otala Fa'aso'o 495309. Xavier Chauveau 5540110. Maxime Machenaud 8092011. Joe Rokocoko 8040012. Albert Vulivuli 8011013. Anthony Tuitavake 80111014. Teddy Thomas 8051015. Juan Imhoff 8020016. Dimitri Szarzewski 2521017. Vasil Kakovin 2520018. Edwin Maka 500019. Manuel Carizza 2210020. Teddy Iribaren 2510021. Louis Dupichot 000022. Antonie Claassen 3100023. Cedate Gomes Sa 31221"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318095","Oyonnax","Castres","19 - 32","KO: 04 Nov 2017 17:30","CastresMinutes PlayedTacklesMissed TacklesTurnovers Won1. Antoine Tichit 7014202. Jody Jenneker 6910013. Yohann Montes 716004. Christophe Samson 7614405. Rodrigo Capo Ortega 809006. Mathieu Babillot 8013117. Baptiste Delaporte 5510108. Maama Vaipulu 5113219. Rory Kockott 5541010. Benjamin Urdapilleta 8092011. David Smith 8020012. Robert Ebersohn 80140013. Thomas Combezou 80102014. Armand Batlle 8041015. Julien Dumora 7010016. Marc-Antoine Rallier 1110017. Tudor Stroe 1030018. Loic Jacquet 400019. Alex Tulou 2990020. Yannick Caballero 2510021. Ludovic Radosavljevic 2520022. Florian Vialelle 000023. Eric Sione 9100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318036","Pau","Lyon","30 - 14","KO: 10 Sep 2017 11:30","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Alexandre Menini 5710102. Virgile Lacombe 468113. Clement Ric 522104. Josh Bekhuis 8010015. Etienne Oosthuizen 534006. Dylan Cretin 8010127. Liam Gill 8012218. Taiasina Tuifua 7011109. Frederic Michalak 6750110. Lionel Beauxis 5702011. Timilai Rokoduru 8031012. Thibault Regard 6942013. Theo Belan 8083214. Toby Arnold 8040015. Delon Armitage 8020116. Deon Fourie 3420017. Stephane Clement 2340018. Francois van der Merwe 2760019. Carl Fearns 000020. Quentin Delord 1300021. Adrien Seguret 1120022. Piero Dominguez 2330023. Richard Choirat 28200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318053","Brive","Toulouse","19 - 22","KO: 23 Sep 2017 19:45","ToulouseMinutes PlayedTacklesMissed TacklesTurnovers Won1. Lucas Pointud 498002. Leonardo Ghiraldini 564003. Charlie Faumuina 604104. Florian Verhaeghe 8014205. Yoann Maestri 5410106. François Cros 808007. Louis-Benoit Madaule 8011008. Gillian Galan 477019. Antoine Dupont 8070010. Zack Holmes 7731111. Maxime Medard 8010012. Gael Fickou 80100013. Florian Fritz 8031114. Yoann Huget 8030015. Thomas Ramos 7820016. David Roumieu 2210017. Danie Mienie 3120018. Joe Tekori 2600119. Semi Kunatani 000020. Talalelei Gray 3333121. Jean-Marc Doussain 300022. Paul Perez 910123. Maks van Dyk 20300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318023","Lyon","Brive","29 - 14","KO: 02 Sep 2017 17:45","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1. Karlen Asieshvili505002. Mike Tadjer501103. Sila Puafisi504004. Damien Lagrange564005. Sisa Koyamaibole805006. Said Hireche6810207. Poutasi Luafutu809108. Etienne Herjean8014009. Samuel Marques5611010. Matthieu Ugalde8060111. Franck Romanet6130012. Thomas Laranjeira8070013. Felix Le Bourhis6130014. Guillaume Namy8061015. Gaetan Germain8031016. Thomas Acquier3022017. Julien Brugnaut3031018. Johan Snyman2410019. Dominiko Waqaniburotu1200020. Vasil Lobzhanidze2411021. Arnaud Mignardi1900022. Takudzwa Ngwenya1900023. Damien Jourdain30400"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318081","Castres","Agen","43 - 28","KO: 29 Oct 2017 11:30","AgenMinutes PlayedTacklesMissed TacklesTurnovers Won1. Giorgi Tetrashvili444002. Facundo Bosch6213123. Dave Ryan448014. Denis Marchois8010005. Mickael De Marco233006. Yoan Tanga8011117. Vincent Farre499008. Antoine Erbani8013109. Ricky Januarie4932010. Jake McIntyre6562011. Filipo Nakosi8001012. Pierre Fouyssac72175013. Julien Heriteau6841014. George Tilsley8062015. Mathieu Lamoulie8032016. Paula Ngauamo1830017. Kamaliele Tufele3660018. Corentin Braendlin57131019. Akapusi Qera3172020. Paul Abadie3151021. Ignacio Mieres1511022. Tamaz Mchedlidze800023. Arthur Joly36500"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318016","Racing 92","Castres","25 - 21","KO: 26 Aug 2017 17:00","CastresMinutes PlayedTacklesMissed TacklesTurnovers Won1. Antoine Tichit 578302. Kevin Firmin 6712103. Yohann Montes 421304. Loic Jacquet 6310205. Rodrigo Capo Ortega 8012406. Yannick Caballero 577217. Mathieu Babillot 8015128. Maama Vaipulu 8012319. Rory Kockott 4050010. Benjamin Urdapilleta 80131011. Taylor Paris 6432012. Robert Ebersohn 80140013. Thomas Combezou 5761014. Armand Batlle 8000015. Julien Dumora 8011016. Marc-Antoine Rallier 1330017. Tudor Stroe 2391018. Christophe Samson 1070019. Anthony Jelonch 2311020. Ludovic Radosavljevic 4070021. Afusipa Taumoepeau 2320022. David Smith 1610023. Damien Tussac 38400"
